frame,model1_herding_cohesion,model2_intercept_cohesion,model3_coordination_cohesion,model1_boid_count,model2_boid_count,model3_boid_count
4430,266.84,184.77,224.02,57,29,71
4440,256.64,183.17,201.20,57,29,71
4450,248.22,175.81,177.75,57,29,71
4460,241.35,173.72,154.09,57,29,71
4470,236.73,176.83,131.65,57,29,71
4480,233.50,185.12,110.46,57,29,71
4490,230.65,197.73,91.48,57,29,71
4500,228.93,213.79,77.87,57,29,71
4510,228.50,233.02,75.70,57,29,71
4520,228.62,250.84,85.09,57,29,71
4530,229.21,259.75,99.60,57,29,71
4540,232.57,257.31,113.97,57,29,71
4550,237.61,248.76,127.66,57,29,71
4560,242.00,236.38,141.09,57,29,71
4570,244.51,223.61,153.58,57,29,71
4580,247.10,210.23,163.53,57,29,71
4590,249.13,196.84,172.48,57,29,71
4600,251.70,185.73,182.15,57,29,71
4610,255.48,177.27,192.35,57,29,71
4620,261.32,132.98,203.37,57,28,71
4630,271.20,132.34,212.67,56,28,71
4640,280.41,140.03,216.81,55,28,71
4650,286.23,146.92,218.42,55,28,71
4660,290.06,152.51,220.33,55,27,71
4670,289.80,157.18,222.28,55,26,71
4680,286.12,159.39,223.89,55,26,71
4690,280.01,157.63,220.97,55,26,71
4700,273.95,150.32,209.49,55,26,71
4710,267.28,142.82,195.56,55,26,71
4720,260.08,134.24,185.84,55,26,71
4730,254.37,125.44,183.34,55,26,71
4740,248.77,115.16,185.62,55,26,71
4750,240.30,105.25,189.89,55,26,71
4760,229.73,96.64,197.32,55,26,71
4770,219.93,90.60,206.24,55,26,71
4780,210.97,86.25,215.54,55,26,71
4790,199.23,86.60,224.37,55,26,71
4800,185.94,89.62,233.69,55,26,71
4810,174.59,95.36,243.08,55,26,71
4820,164.22,104.73,253.74,55,26,71
4830,154.74,118.36,264.74,55,26,71
4840,147.05,133.94,275.49,55,26,71
4850,142.01,151.16,283.04,55,26,71
4860,141.36,168.67,290.42,55,26,71
4870,145.39,183.95,297.31,55,26,71
4880,152.13,198.14,303.61,55,26,71
4890,161.31,211.25,310.52,55,26,71
4900,172.80,221.09,317.61,54,26,71
4910,188.51,228.84,325.07,52,26,71
4920,211.24,238.46,333.07,51,26,71
4930,233.87,253.35,341.16,51,26,71
4940,254.99,270.30,350.74,51,26,71
4950,273.26,283.62,363.00,51,26,71
4960,287.97,289.41,377.48,51,26,71
4970,296.85,288.26,392.95,51,26,71
4980,297.65,286.64,409.55,51,26,71
4990,292.18,283.83,429.57,51,25,71
5000,284.53,289.02,450.45,51,25,71
